n,j,u[n][j],exact,error
24,0,0.789476,0.789093,0.048462
24,1,0.779756,0.779378,0.048462
24,2,0.750836,0.750472,0.048462
24,3,0.703428,0.703087,0.048462
24,4,0.638700,0.638390,0.048462
24,5,0.558244,0.557973,0.048462
24,6,0.464042,0.463818,0.048462
24,7,0.358415,0.358241,0.048462
24,8,0.243962,0.243843,0.048462
24,9,0.123501,0.123441,0.048462
24,10,0.000000,0.000000,1.#INF00
25,0,0.781738,0.781344,0.050480
25,1,0.772114,0.771724,0.050480
25,2,0.743477,0.743102,0.050480
25,3,0.696534,0.696182,0.050480
25,4,0.632440,0.632120,0.050480
25,5,0.552772,0.552493,0.050480
25,6,0.459494,0.459262,0.050480
25,7,0.354902,0.354723,0.050480
25,8,0.241570,0.241448,0.050480
25,9,0.122291,0.122229,0.050480
25,10,0.000000,0.000000,1.#INF00
26,0,0.774076,0.773670,0.052499
26,1,0.764546,0.764145,0.052499
26,2,0.736190,0.735804,0.052499
26,3,0.689707,0.689345,0.052499
26,4,0.626241,0.625912,0.052499
26,5,0.547355,0.547067,0.052499
26,6,0.454991,0.454752,0.052499
26,7,0.351423,0.351239,0.052499
26,8,0.239203,0.239077,0.052499
26,9,0.121092,0.121029,0.052499
26,10,0.000000,0.000000,1.#INF00
27,0,0.766490,0.766072,0.054518
27,1,0.757053,0.756640,0.054518
27,2,0.728975,0.728578,0.054518
27,3,0.682947,0.682575,0.054518
27,4,0.620103,0.619765,0.054518
27,5,0.541990,0.541695,0.054518
27,6,0.450531,0.450286,0.054518
27,7,0.347979,0.347789,0.054518
27,8,0.236858,0.236729,0.054518
27,9,0.119905,0.119840,0.054518
27,10,0.000000,0.000000,1.#INF00
28,0,0.758977,0.758548,0.056536
28,1,0.749633,0.749209,0.056536
28,2,0.721830,0.721422,0.056536
28,3,0.676254,0.675871,0.056536
28,4,0.614026,0.613678,0.056536
28,5,0.536678,0.536375,0.056536
28,6,0.446116,0.445863,0.056536
28,7,0.344568,0.344374,0.056536
28,8,0.234537,0.234404,0.056536
