n,j,u[n][j],exact,error
60,10,0.000000,0.000000,1.#INF00
61,0,0.549982,0.547690,0.416768
61,1,0.543211,0.540947,0.416768
61,2,0.523064,0.520884,0.416768
61,3,0.490038,0.487995,0.416768
61,4,0.444945,0.443091,0.416768
61,5,0.388896,0.387275,0.416768
61,6,0.323271,0.321924,0.416768
61,7,0.249687,0.248646,0.416768
61,8,0.169954,0.169246,0.416768
61,9,0.086036,0.085678,0.416768
61,10,0.000000,0.000000,1.#INF00
62,0,0.544618,0.542311,0.423585
62,1,0.537913,0.535634,0.423585
62,2,0.517963,0.515768,0.423585
62,3,0.485258,0.483203,0.423585
62,4,0.440605,0.438739,0.423585
62,5,0.385103,0.383472,0.423585
62,6,0.320118,0.318762,0.423585
62,7,0.247251,0.246204,0.423585
62,8,0.168296,0.167583,0.423585
62,9,0.085197,0.084836,0.423585
62,10,0.000000,0.000000,1.#INF00
63,0,0.539306,0.536985,0.430403
63,1,0.532666,0.530374,0.430403
63,2,0.512911,0.510703,0.430403
63,3,0.480525,0.478457,0.430403
63,4,0.436308,0.434430,0.430403
63,5,0.381347,0.379706,0.430403
63,6,0.316996,0.315632,0.430403
63,7,0.244840,0.243786,0.430403
63,8,0.166655,0.165937,0.430403
63,9,0.084366,0.084003,0.430403
63,10,0.000000,0.000000,1.#INF00
64,0,0.534046,0.531711,0.437220
64,1,0.527471,0.525165,0.437220
64,2,0.507908,0.505687,0.437220
64,3,0.475839,0.473758,0.437220
64,4,0.432052,0.430163,0.437220
64,5,0.377628,0.375977,0.437220
64,6,0.313904,0.312532,0.437220
64,7,0.242452,0.241392,0.437220
64,8,0.165029,0.164308,0.437220
64,9,0.083543,0.083178,0.437220
64,10,0.000000,0.000000,1.#INF00
65,0,0.528838,0.526489,0.444036
65,1,0.522327,0.520007,0.444036
65,2,0.502954,0.500721,0.444036
65,3,0.471198,0.469105,0.444036
65,4,0.427839,0.425939,0.444036
65,5,0.373945,0.372284,0.444036
65,6,0.310843,0.309463,0.444036
65,7,0.240087,0.239021,0.444036
65,8,0.163420,0.162694,0.444036
65,9,0.082728,0.082361,0.444036
65,10,0.000000,0.000000,1.#INF00
