n,j,u[n][j],exact,error
35,7,0.321064,0.321385,0.099970
35,8,0.218538,0.218757,0.099970
35,9,0.110631,0.110742,0.099970
36,0,0.700239,0.700959,0.102828
36,1,0.691618,0.692329,0.102828
36,2,0.665967,0.666652,0.102828
36,3,0.623918,0.624559,0.102828
36,4,0.566505,0.567088,0.102828
36,5,0.495144,0.495653,0.102828
36,6,0.411590,0.412013,0.102828
36,7,0.317902,0.318229,0.102828
36,8,0.216386,0.216608,0.102828
36,9,0.109542,0.109654,0.102828
37,0,0.693342,0.694075,0.105686
37,1,0.684806,0.685530,0.105686
37,2,0.659408,0.660104,0.105686
37,3,0.617772,0.618425,0.105686
37,4,0.560926,0.561518,0.105686
37,5,0.490267,0.490785,0.105686
37,6,0.407536,0.407967,0.105686
37,7,0.314771,0.315103,0.105686
37,8,0.214255,0.214481,0.105686
37,9,0.108463,0.108577,0.105686
38,0,0.686513,0.687258,0.108544
38,1,0.678061,0.678797,0.108544
38,2,0.652913,0.653622,0.108544
38,3,0.611688,0.612352,0.108544
38,4,0.555401,0.556004,0.108544
38,5,0.485438,0.485965,0.108544
38,6,0.403522,0.403960,0.108544
38,7,0.311670,0.312009,0.108544
38,8,0.212144,0.212375,0.108544
38,9,0.107394,0.107511,0.108544
39,0,0.679752,0.680509,0.111402
39,1,0.671383,0.672131,0.111402
39,2,0.646482,0.647202,0.111402
39,3,0.605663,0.606338,0.111402
39,4,0.549931,0.550543,0.111402
39,5,0.480657,0.481192,0.111402
39,6,0.399548,0.399993,0.111402
39,7,0.308601,0.308945,0.111402
39,8,0.210055,0.210289,0.111402
39,9,0.106337,0.106455,0.111402
40,0,0.673056,0.673825,0.114260
40,1,0.664770,0.665530,0.114260
40,2,0.640115,0.640846,0.114260
40,3,0.599698,0.600383,0.114260
40,4,0.544514,0.545136,0.114260
40,5,0.475923,0.476467,0.114260
40,6,0.395613,0.396065,0.114260
40,7,0.305561,0.305910,0.114260
40,8,0.207986,0.208224,0.114260
40,9,0.105289,0.105410,0.114260
41,0,0.666427,0.667208,0.117118
41,1,0.658222,0.658993,0.117118
41,2,0.633810,0.634552,0.117118
41,3,0.593791,0.594486,0.117118
41,4,0.539151,0.539782,0.117118
41,5,0.471235,0.471787,0.117118
41,6,0.391716,0.392175,0.117118
41,7,0.302552,0.302906,0.117118
41,8,0.205937,0.206179,0.117118
41,9,0.104252,0.104374,0.117118
42,0,0.659863,0.660655,0.119976
42,1,0.651739,0.652521,0.119976
42,2,0.627567,0.628320,0.119976
42,3,0.587943,0.588648,0.119976
42,4,0.533841,0.534481,0.119976
42,5,0.466594,0.467154,0.119976
42,6,0.387858,0.388323,0.119976
42,7,0.299572,0.299931,0.119976
42,8,0.203909,0.204154,0.119976
42,9,0.103225,0.103349,0.119976
43,0,0.653364,0.654167,0.122834
43,1,0.645320,0.646113,0.122834
43,2,0.621386,0.622150,0.122834
43,3,0.582152,0.582867,0.122834
43,4,0.528583,0.529232,0.122834
43,5,0.461998,0.462566,0.122834
43,6,0.384038,0.384510,0.122834
43,7,0.296621,0.296985,0.122834
43,8,0.201901,0.202149,0.122834
43,9,0.102209,0.102334,0.122834
44,0,0.646929,0.647742,0.125693
44,1,0.638964,0.639767,0.125693
44,2,0.615266,0.616039,0.125693
