n,j,u[n][j],exact,error
45,2,0.104378,0.099468,4.704089
45,3,0.143664,0.136906,4.704089
45,4,0.168887,0.160942,4.704089
45,5,0.177578,0.169225,4.704089
45,6,0.168887,0.160942,4.704089
45,7,0.143664,0.136906,4.704089
45,8,0.104378,0.099468,4.704089
45,9,0.054875,0.052293,4.704089
45,10,0.000000,0.000000,0.000000
46,0,0.000000,0.000000,0.000000
46,1,0.052807,0.050269,4.806072
46,2,0.100445,0.095617,4.806072
46,3,0.138250,0.131606,4.806072
46,4,0.162523,0.154712,4.806072
46,5,0.170887,0.162674,4.806072
46,6,0.162523,0.154712,4.806072
46,7,0.138250,0.131606,4.806072
46,8,0.100445,0.095617,4.806072
46,9,0.052807,0.050269,4.806072
46,10,0.000000,0.000000,0.000000
47,0,0.000000,0.000000,0.000000
47,1,0.050817,0.048323,4.907945
47,2,0.096660,0.091916,4.907945
47,3,0.133041,0.126512,4.907945
47,4,0.156399,0.148723,4.907945
47,5,0.164448,0.156377,4.907945
47,6,0.156399,0.148723,4.907945
47,7,0.133041,0.126512,4.907945
47,8,0.096660,0.091916,4.907945
47,9,0.050817,0.048323,4.907945
47,10,0.000000,0.000000,0.000000
48,0,0.000000,0.000000,0.000000
48,1,0.048902,0.046453,5.009710
48,2,0.093018,0.088358,5.009710
48,3,0.128028,0.121614,5.009710
48,4,0.150506,0.142966,5.009710
48,5,0.158252,0.150324,5.009710
48,6,0.150506,0.142966,5.009710
48,7,0.128028,0.121614,5.009710
48,8,0.093018,0.088358,5.009710
48,9,0.048902,0.046453,5.009710
48,10,0.000000,0.000000,0.000000
49,0,0.000000,0.000000,0.000000
49,1,0.047060,0.044654,5.111365
49,2,0.089513,0.084938,5.111365
49,3,0.123204,0.116907,5.111365
49,4,0.144835,0.137432,5.111365
49,5,0.152289,0.144505,5.111365
49,6,0.144835,0.137432,5.111365
49,7,0.123204,0.116907,5.111365
49,8,0.089513,0.084938,5.111365
49,9,0.047060,0.044654,5.111365
49,10,0.000000,0.000000,0.000000
50,0,0.000000,0.000000,0.000000
50,1,0.045287,0.042926,5.212912
50,2,0.086140,0.081650,5.212912
50,3,0.118562,0.112381,5.212912
50,4,0.139378,0.132112,5.212912
50,5,0.146551,0.138911,5.212912
50,6,0.139378,0.132112,5.212912
50,7,0.118562,0.112381,5.212912
50,8,0.086140,0.081650,5.212912
50,9,0.045287,0.042926,5.212912
50,10,0.000000,0.000000,0.000000
51,0,0.000000,0.000000,0.000000
51,1,0.043580,0.041264,5.314350
51,2,0.082895,0.078489,5.314350
51,3,0.114095,0.108031,5.314350
51,4,0.134126,0.126998,5.314350
51,5,0.141029,0.133534,5.314350
51,6,0.134126,0.126998,5.314350
51,7,0.114095,0.108031,5.314350
51,8,0.082895,0.078489,5.314350
51,9,0.043580,0.041264,5.314350
51,10,0.000000,0.000000,0.000000
52,0,0.000000,0.000000,0.000000
52,1,0.041938,0.039667,5.415679
52,2,0.079771,0.075451,5.415679
52,3,0.109796,0.103849,5.415679
52,4,0.129072,0.122082,5.415679
